City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,Aripuanã,-9.1667,-60.6333,85.14,76,86,3.71,BR,11/26/2024
317,Hashtrūd,37.4779,47.0508,43.0,79,38,2.64,IR,11/26/2024
318,Kampong Dungun,3.2167,101.3167,80.78,99,100,10.87,MY,11/26/2024
319,Touros,-5.1989,-35.4608,84.47,56,32,13.62,BR,11/26/2024
320,Nola,40.922,14.5329,61.21,88,94,1.12,IT,11/26/2024
321,Andergrove,-21.0833,149.1833,76.42,81,12,6.6,AU,11/26/2024
322,Ebon,4.582,168.6964,81.95,81,69,14.99,MH,11/26/2024
323,Merkezefendi,37.7918,29.0667,38.55,68,6,2.3,TR,11/26/2024
324,Boca Suno,-0.7167,-77.1333,91.81,46,10,3.94,EC,11/26/2024
325,Holualoa,19.6228,-155.9522,70.86,74,40,6.91,US,11/26/2024
326,Saquarema,-22.92,-42.5103,79.75,68,0,14.5,BR,11/26/2024
327,Champerico,14.3,-91.9167,80.46,68,3,3.51,GT,11/26/2024
328,Torghay,49.6339,63.4981,30.06,75,0,7.58,KZ,11/26/2024
329,Avenal,36.0041,-120.129,51.57,97,100,8.9,US,11/26/2024
330,Klyuchi,52.2667,79.1667,11.39,95,74,3.74,RU,11/26/2024
331,Monteagudo,-19.8167,-63.9833,93.97,32,100,7.56,BO,11/26/2024
332,Kiunga,-6.1219,141.2906,74.7,99,100,1.32,PG,11/26/2024
333,Timimoun,29.2639,0.231,75.58,25,0,10.36,DZ,11/26/2024
